epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,55829.1,1.03385,1.21072,1.03108,0.80483,0.67201,0.74297,0.57427,1.10498,1.15744,1.06845,2.50076e-05,2.50076e-05,2.50076e-05
40,57002.3,1.02469,1.25448,1.04328,0.79785,0.6901,0.75517,0.57208,1.10641,1.16594,1.06912,2.30078e-05,2.30078e-05,2.30078e-05
41,58159.9,1.10691,1.36906,1.09795,0.75119,0.66984,0.72747,0.55,1.1121,1.18384,1.07365,2.1008e-05,2.1008e-05,2.1008e-05
42,59177.5,1.05042,1.34512,1.07738,0.74305,0.67072,0.72932,0.54588,1.12161,1.18636,1.07861,1.90082e-05,1.90082e-05,1.90082e-05
43,60140.5,1.07209,1.29558,1.08375,0.65899,0.69299,0.72528,0.54466,1.11945,1.17591,1.0754,1.70084e-05,1.70084e-05,1.70084e-05
44,61113.7,1.05622,1.27918,1.09398,0.7132,0.68713,0.73557,0.55106,1.11853,1.17417,1.07362,1.50086e-05,1.50086e-05,1.50086e-05
45,62111.8,1.04711,1.27958,1.08686,0.63624,0.74092,0.72372,0.54576,1.11943,1.16397,1.07382,1.30088e-05,1.30088e-05,1.30088e-05
46,63085.6,1.07504,1.30363,1.10227,0.63378,0.73299,0.73863,0.55015,1.12007,1.16259,1.07444,1.1009e-05,1.1009e-05,1.1009e-05
47,64085.3,1.06737,1.3014,1.10264,0.65664,0.72392,0.75756,0.57278,1.11748,1.15742,1.0726,9.0092e-06,9.0092e-06,9.0092e-06
48,65065.9,1.05467,1.27179,1.08193,0.66167,0.72754,0.76281,0.57835,1.11507,1.15184,1.0713,7.0094e-06,7.0094e-06,7.0094e-06
49,66036.3,1.05435,1.25555,1.08111,0.65538,0.73474,0.75723,0.57137,1.11388,1.15174,1.07074,5.0096e-06,5.0096e-06,5.0096e-06
50,67040.8,1.04563,1.26374,1.06859,0.65936,0.73383,0.75646,0.56978,1.11366,1.1539,1.07081,3.0098e-06,3.0098e-06,3.0098e-06
